News_Text,Label
BREAKING: Secret government files reveal weather is being controlled by hidden machines. Readers are advised to verify independently.,Fake
The state government announced additional funding for flood relief operations. Officials have not commented further.,Real
"According to sources, Politician caught on secret tape admitting to faking the entire election. The story is still developing.",Fake
"Update: Eating this common vegetable instantly reverses aging, viral post claims. Officials have not commented further.",Fake
"In a recent update, Politician caught on secret tape admitting to faking the entire election. Readers are advised to verify independently.",Fake
"BREAKING: Banks to seize all savings accounts overnight, sources claim without evidence.",Fake
BREAKING: The Election Commission announced the schedule for the upcoming state elections.,Real
Reports say Officials confirmed that the bridge repair project will be completed by next month. The story is still developing.,Real
"According to sources, Vaccine contains microchip to track every citizen, whistleblower says. The story is still developing.",Fake
The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. Officials have not commented further.,Real
"According to sources, Doctors shocked as man grows extra organ after drinking miracle tonic. The story is still developing.",Fake
Reports say Rumor spreads that all passports will be cancelled overnight without warning. Readers are advised to verify independently.,Fake
Reports say Farmers received updated subsidy information from the agriculture department. Readers are advised to verify independently.,Real
Reports say The central bank published its monetary policy report for this quarter.,Real
"According to sources, Ancient prophecy predicts world will end this Friday, panic spreads on social media.",Fake
Update: The university announced new scholarships for undergraduate students. The story is still developing.,Real
"According to sources, The university announced new scholarships for undergraduate students. More details are awaited.",Real
"In a recent update, Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Readers are advised to verify independently.",Fake
"According to sources, Government plans to ban all sunlight to fight climate change, rumor spreads online. Officials have not commented further.",Fake
"According to sources, Stock markets closed slightly higher after positive quarterly earnings reports.",Real
Reports say The company reported a 12 percent increase in quarterly revenue. Readers are advised to verify independently.,Real
"In a recent update, A new metro line was inaugurated, reducing commute times for thousands of residents. The story is still developing.",Real
Reports say The parliament passed a bill on data protection after extensive debate. The story is still developing.,Real
Reports say Local authorities confirmed water supply will resume by evening after the pipeline repair. The story is still developing.,Real
"According to sources, Health officials reported a decline in seasonal flu cases this month. Readers are advised to verify independently.",Real
Reports say Employment data released today shows a modest rise in the unemployment rate.,Real
Update: The airport authority announced new flight routes starting next quarter. More details are awaited.,Real
"In a recent update, The parliament passed a bill on data protection after extensive debate. Readers are advised to verify independently.",Real
"According to sources, Secret society controls all world governments, anonymous source reveals.",Fake
Local authorities confirmed water supply will resume by evening after the pipeline repair. Readers are advised to verify independently.,Real
"In a recent update, The central bank published its monetary policy report for this quarter. Officials have not commented further.",Real
"In a recent update, Local authorities confirmed water supply will resume by evening after the pipeline repair. More details are awaited.",Real
BREAKING: The airport authority announced new flight routes starting next quarter. Readers are advised to verify independently.,Real
"According to sources, Hospital secretly performing experiments on patients without consent, rumor claims. Readers are advised to verify independently.",Fake
"According to sources, New pill promises to make you fluent in any language overnight, ad claims. The story is still developing.",Fake
Update: Shocking video appears to show government faking natural disaster footage. More details are awaited.,Fake
Reports say Health officials reported a decline in seasonal flu cases this month. Officials have not commented further.,Real
"In a recent update, The weather department has forecast moderate rainfall in the region this week.",Real
"Man discovers drinking bleach cures cancer instantly, doctors baffled and furious.",Fake
"According to sources, Doctors shocked as man grows extra organ after drinking miracle tonic.",Fake
BREAKING: The environment ministry released its annual air quality report for major cities.,Real
BREAKING: Shocking video appears to show government faking natural disaster footage. The story is still developing.,Fake
"According to sources, The court delivered its verdict in the long-pending property dispute case. The story is still developing.",Real
"5G towers are secretly causing mass mind control, experts allegedly warn. The story is still developing.",Fake
Update: Shocking! Scientists secretly confirm the earth will stop spinning next week. More details are awaited.,Fake
BREAKING: The parliament passed a bill on data protection after extensive debate. Officials have not commented further.,Real
"According to sources, The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. Readers are advised to verify independently.",Real
"According to sources, The central bank published its monetary policy report for this quarter. More details are awaited.",Real
"According to sources, Rumor spreads that all passports will be cancelled overnight without warning.",Fake
"According to sources, The airport authority announced new flight routes starting next quarter. The story is still developing.",Real
The weather department has forecast moderate rainfall in the region this week.,Real
BREAKING: Employment data released today shows a modest rise in the unemployment rate. The story is still developing.,Real
"Man discovers drinking bleach cures cancer instantly, doctors baffled and furious. Officials have not commented further.",Fake
"Government plans to ban all sunlight to fight climate change, rumor spreads online.",Fake
"BREAKING: New pill promises to make you fluent in any language overnight, ad claims.",Fake
"According to sources, The Ministry of Health released updated guidelines for seasonal flu vaccination. Officials have not commented further.",Real
Officials confirmed that the new water treatment plant is now operational. More details are awaited.,Real
Update: Politician caught on secret tape admitting to faking the entire election.,Fake
"Update: Government hiding cure for all diseases, leaked documents claim.",Fake
The central bank published its monetary policy report for this quarter. More details are awaited.,Real
"According to sources, Hospital secretly performing experiments on patients without consent, rumor claims. Officials have not commented further.",Fake
"In a recent update, The central bank published its monetary policy report for this quarter. Readers are advised to verify independently.",Real
Update: The company reported a 12 percent increase in quarterly revenue. The story is still developing.,Real
"In a recent update, The central bank published its monetary policy report for this quarter. More details are awaited.",Real
The airport authority announced new flight routes starting next quarter.,Real
"According to sources, Billionaire secretly funding time travel experiments, leaked email suggests. More details are awaited.",Fake
"Reports say A new metro line was inaugurated, reducing commute times for thousands of residents. Officials have not commented further.",Real
"In a recent update, Anonymous tip reveals entire stock market is run by a single hidden algorithm. More details are awaited.",Fake
Update: Scientists confirm moon landing was staged in a hidden studio decades ago. Readers are advised to verify independently.,Fake
"In a recent update, Celebrity secretly replaced by clone, insider reveals shocking details.",Fake
"Government plans to ban all sunlight to fight climate change, rumor spreads online. More details are awaited.",Fake
BREAKING: The state government announced additional funding for flood relief operations. More details are awaited.,Real
"Government plans to ban all sunlight to fight climate change, rumor spreads online. Officials have not commented further.",Fake
"In a recent update, Eating this common vegetable instantly reverses aging, viral post claims.",Fake
"According to sources, Doctors shocked as man grows extra organ after drinking miracle tonic. More details are awaited.",Fake
The Election Commission announced the schedule for the upcoming state elections. The story is still developing.,Real
"According to sources, A new vaccination drive was launched in rural districts by the health department. Officials have not commented further.",Real
BREAKING: A new vaccination drive was launched in rural districts by the health department.,Real
BREAKING: Anonymous tip reveals entire stock market is run by a single hidden algorithm. More details are awaited.,Fake
"According to sources, Employment data released today shows a modest rise in the unemployment rate. Readers are advised to verify independently.",Real
BREAKING: The company reported a 12 percent increase in quarterly revenue. Officials have not commented further.,Real
"Eating this common vegetable instantly reverses aging, viral post claims.",Fake
"In a recent update, The finance ministry released the annual economic survey report today.",Real
"In a recent update, Eating this common vegetable instantly reverses aging, viral post claims.",Fake
A team of doctors successfully completed a complex surgery at the government hospital. The story is still developing.,Real
"Update: Billionaire secretly funding time travel experiments, leaked email suggests. The story is still developing.",Fake
Reports say Officials confirmed that the new water treatment plant is now operational. Officials have not commented further.,Real
Reports say Doctors shocked as man grows extra organ after drinking miracle tonic. More details are awaited.,Fake
"In a recent update, Employment data released today shows a modest rise in the unemployment rate. More details are awaited.",Real
Update: The finance ministry released the annual economic survey report today.,Real
"Vaccine contains microchip to track every citizen, whistleblower says. Readers are advised to verify independently.",Fake
Reports say Shocking video appears to show government faking natural disaster footage. Officials have not commented further.,Fake
"In a recent update, The airport authority announced new flight routes starting next quarter. Officials have not commented further.",Real
BREAKING: The parliament passed a bill on data protection after extensive debate. More details are awaited.,Real
"In a recent update, Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Officials have not commented further.",Fake
Update: Officials confirmed that the bridge repair project will be completed by next month.,Real
"In a recent update, The airport authority announced new flight routes starting next quarter. Readers are advised to verify independently.",Real
"In a recent update, The court delivered its verdict in the long-pending property dispute case.",Real
BREAKING: The city council approved funding for three new public schools. Readers are advised to verify independently.,Real
"In a recent update, The parliament passed a bill on data protection after extensive debate. Officials have not commented further.",Real
"Reports say Secret society controls all world governments, anonymous source reveals. The story is still developing.",Fake
"Reports say Popular soda brand secretly owned by extraterrestrial corporation, rumor says. More details are awaited.",Fake
Update: A new vaccination drive was launched in rural districts by the health department. Officials have not commented further.,Real
Update: The transport department introduced new safety rules for commercial vehicles.,Real
"Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Officials have not commented further.",Fake
Reports say The company reported a 12 percent increase in quarterly revenue. Officials have not commented further.,Real
A team of doctors successfully completed a complex surgery at the government hospital. More details are awaited.,Real
BREAKING: Politician caught on secret tape admitting to faking the entire election. The story is still developing.,Fake
The airport authority announced new flight routes starting next quarter. Readers are advised to verify independently.,Real
"In a recent update, The city council approved funding for three new public schools. The story is still developing.",Real
"Reports say Celebrity secretly replaced by clone, insider reveals shocking details. Readers are advised to verify independently.",Fake
"According to sources, A new metro line was inaugurated, reducing commute times for thousands of residents. The story is still developing.",Real
"According to sources, Miracle fruit melts fat overnight, doctors hate this one simple trick. More details are awaited.",Fake
"BREAKING: Vaccine contains microchip to track every citizen, whistleblower says. Readers are advised to verify independently.",Fake
"In a recent update, Secret government files reveal weather is being controlled by hidden machines. Readers are advised to verify independently.",Fake
Reports say Scientists confirm moon landing was staged in a hidden studio decades ago. The story is still developing.,Fake
"Aliens landed in secret facility, government covers up truth from public. Readers are advised to verify independently.",Fake
"Update: Popular soda brand secretly owned by extraterrestrial corporation, rumor says. More details are awaited.",Fake
"According to sources, Rumor spreads that all passports will be cancelled overnight without warning. More details are awaited.",Fake
Update: The parliament passed a bill on data protection after extensive debate. More details are awaited.,Real
"According to sources, The transport department introduced new safety rules for commercial vehicles. Officials have not commented further.",Real
"In a recent update, A team of doctors successfully completed a complex surgery at the government hospital. Readers are advised to verify independently.",Real
The airport authority announced new flight routes starting next quarter. The story is still developing.,Real
The transport department introduced new safety rules for commercial vehicles. More details are awaited.,Real
"Ancient prophecy predicts world will end this Friday, panic spreads on social media. Officials have not commented further.",Fake
Update: A new vaccination drive was launched in rural districts by the health department.,Real
"Reports say Hospital secretly performing experiments on patients without consent, rumor claims. The story is still developing.",Fake
Update: A new vaccination drive was launched in rural districts by the health department. Officials have not commented further.,Real
Reports say Officials confirmed that the bridge repair project will be completed by next month.,Real
The parliament passed a bill on data protection after extensive debate. Readers are advised to verify independently.,Real
"BREAKING: Government plans to ban all sunlight to fight climate change, rumor spreads online. More details are awaited.",Fake
"In a recent update, Man discovers drinking bleach cures cancer instantly, doctors baffled and furious. Readers are advised to verify independently.",Fake
"BREAKING: Popular soda brand secretly owned by extraterrestrial corporation, rumor says. The story is still developing.",Fake
"In a recent update, Politician caught on secret tape admitting to faking the entire election. More details are awaited.",Fake
Update: The government announced a new infrastructure budget for rural roads. More details are awaited.,Real
"In a recent update, A new vaccination drive was launched in rural districts by the health department. Officials have not commented further.",Real
"Update: Vaccine contains microchip to track every citizen, whistleblower says. Officials have not commented further.",Fake
Update: Viral post claims wearing foil hats blocks government surveillance completely.,Fake
"According to sources, 5G towers are secretly causing mass mind control, experts allegedly warn. More details are awaited.",Fake
"BREAKING: Man discovers drinking bleach cures cancer instantly, doctors baffled and furious. Readers are advised to verify independently.",Fake
"According to sources, Popular soda brand secretly owned by extraterrestrial corporation, rumor says.",Fake
"According to sources, Aliens landed in secret facility, government covers up truth from public. More details are awaited.",Fake
BREAKING: The weather department has forecast moderate rainfall in the region this week. The story is still developing.,Real
"Reports say A new metro line was inaugurated, reducing commute times for thousands of residents.",Real
The city council approved funding for three new public schools.,Real
BREAKING: City officials opened a new public library funded by municipal taxes.,Real
"In a recent update, Farmers received updated subsidy information from the agriculture department. The story is still developing.",Real
Researchers published a peer-reviewed study on renewable energy efficiency. The story is still developing.,Real
"BREAKING: Secret cure for baldness hidden by pharma companies for decades, claims blog. Readers are advised to verify independently.",Fake
"According to sources, Viral post claims wearing foil hats blocks government surveillance completely. Readers are advised to verify independently.",Fake
Update: Secret government files reveal weather is being controlled by hidden machines. Readers are advised to verify independently.,Fake
"In a recent update, Shocking video appears to show government faking natural disaster footage. Readers are advised to verify independently.",Fake
"According to sources, Man discovers drinking bleach cures cancer instantly, doctors baffled and furious.",Fake
"According to sources, City officials opened a new public library funded by municipal taxes.",Real
Reports say Scientists at ISRO successfully launched a new communication satellite today. The story is still developing.,Real
Shocking! Scientists secretly confirm the earth will stop spinning next week. More details are awaited.,Fake
"According to sources, Man discovers drinking bleach cures cancer instantly, doctors baffled and furious. More details are awaited.",Fake
"According to sources, 5G towers are secretly causing mass mind control, experts allegedly warn. Readers are advised to verify independently.",Fake
Reports say Scientists at ISRO successfully launched a new communication satellite today. Officials have not commented further.,Real
"Update: Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Officials have not commented further.",Fake
"In a recent update, Local water supply secretly laced with mind-altering chemicals, claims viral post. More details are awaited.",Fake
Reports say Shocking video appears to show government faking natural disaster footage.,Fake
Reports say Fake report claims famous scientist admits climate change is a total hoax. The story is still developing.,Fake
Reports say Anonymous tip reveals entire stock market is run by a single hidden algorithm. Officials have not commented further.,Fake
"Reports say Government hiding cure for all diseases, leaked documents claim. The story is still developing.",Fake
Anonymous tip reveals entire stock market is run by a single hidden algorithm. Readers are advised to verify independently.,Fake
Scientists confirm moon landing was staged in a hidden studio decades ago. More details are awaited.,Fake
Update: Shocking video appears to show government faking natural disaster footage. The story is still developing.,Fake
Secret government files reveal weather is being controlled by hidden machines. The story is still developing.,Fake
Reports say The state government announced additional funding for flood relief operations. Readers are advised to verify independently.,Real
Reports say Officials confirmed that the bridge repair project will be completed by next month. The story is still developing.,Real
Rumor spreads that all passports will be cancelled overnight without warning.,Fake
"Reports say Miracle fruit melts fat overnight, doctors hate this one simple trick. More details are awaited.",Fake
BREAKING: The transport department introduced new safety rules for commercial vehicles. Officials have not commented further.,Real
Reports say The Election Commission announced the schedule for the upcoming state elections. Officials have not commented further.,Real
BREAKING: The airport authority announced new flight routes starting next quarter. Readers are advised to verify independently.,Real
BREAKING: Leaked memo claims all schools will be replaced by robots next year. The story is still developing.,Fake
BREAKING: Shocking video appears to show government faking natural disaster footage. Officials have not commented further.,Fake
Reports say The weather department has forecast moderate rainfall in the region this week. The story is still developing.,Real
"BREAKING: Government hiding cure for all diseases, leaked documents claim. More details are awaited.",Fake
"BREAKING: Government hiding cure for all diseases, leaked documents claim. The story is still developing.",Fake
Reports say Researchers published a peer-reviewed study on renewable energy efficiency. The story is still developing.,Real
"According to sources, Secret government files reveal weather is being controlled by hidden machines.",Fake
"According to sources, Scientists confirm moon landing was staged in a hidden studio decades ago. More details are awaited.",Fake
"According to sources, Politician caught on secret tape admitting to faking the entire election.",Fake
BREAKING: The court delivered its verdict in the long-pending property dispute case. The story is still developing.,Real
"Update: Aliens landed in secret facility, government covers up truth from public. Officials have not commented further.",Fake
The city council approved funding for three new public schools. Readers are advised to verify independently.,Real
"In a recent update, Billionaire secretly funding time travel experiments, leaked email suggests. More details are awaited.",Fake
"BREAKING: 5G towers are secretly causing mass mind control, experts allegedly warn. Readers are advised to verify independently.",Fake
"Reports say Government plans to ban all sunlight to fight climate change, rumor spreads online.",Fake
BREAKING: The Ministry of Health released updated guidelines for seasonal flu vaccination. More details are awaited.,Real
"In a recent update, The central bank published its monetary policy report for this quarter.",Real
Reports say The central bank published its monetary policy report for this quarter. Officials have not commented further.,Real
"According to sources, Stock markets closed slightly higher after positive quarterly earnings reports. The story is still developing.",Real
Reports say Doctors shocked as man grows extra organ after drinking miracle tonic. The story is still developing.,Fake
Reports say The company reported a 12 percent increase in quarterly revenue. Officials have not commented further.,Real
"Government plans to ban all sunlight to fight climate change, rumor spreads online. Readers are advised to verify independently.",Fake
Reports say The environment ministry released its annual air quality report for major cities. Officials have not commented further.,Real
"In a recent update, New pill promises to make you fluent in any language overnight, ad claims. Readers are advised to verify independently.",Fake
BREAKING: The city council approved funding for three new public schools. Readers are advised to verify independently.,Real
"In a recent update, Eating this common vegetable instantly reverses aging, viral post claims. Officials have not commented further.",Fake
"Reports say Aliens landed in secret facility, government covers up truth from public. Readers are advised to verify independently.",Fake
"According to sources, The university announced new scholarships for undergraduate students.",Real
The weather department has forecast moderate rainfall in the region this week. Officials have not commented further.,Real
"According to sources, Secret government files reveal weather is being controlled by hidden machines.",Fake
"Update: Aliens landed in secret facility, government covers up truth from public. The story is still developing.",Fake
"In a recent update, The parliament passed a bill on data protection after extensive debate. Officials have not commented further.",Real
"In a recent update, The city council approved funding for three new public schools.",Real
"According to sources, Miracle fruit melts fat overnight, doctors hate this one simple trick. More details are awaited.",Fake
"According to sources, Health officials reported a decline in seasonal flu cases this month. Readers are advised to verify independently.",Real
A team of doctors successfully completed a complex surgery at the government hospital.,Real
"In a recent update, Stock markets closed slightly higher after positive quarterly earnings reports. The story is still developing.",Real
Update: The government announced a new infrastructure budget for rural roads. More details are awaited.,Real
"Reports say Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Readers are advised to verify independently.",Fake
"Billionaire secretly funding time travel experiments, leaked email suggests. Readers are advised to verify independently.",Fake
Update: Viral post claims wearing foil hats blocks government surveillance completely. Readers are advised to verify independently.,Fake
"In a recent update, The environment ministry released its annual air quality report for major cities.",Real
BREAKING: Officials confirmed that the new water treatment plant is now operational. Readers are advised to verify independently.,Real
The finance ministry released the annual economic survey report today. More details are awaited.,Real
"According to sources, The transport department introduced new safety rules for commercial vehicles. The story is still developing.",Real
"In a recent update, The company reported a 12 percent increase in quarterly revenue. Readers are advised to verify independently.",Real
"According to sources, Local authorities confirmed water supply will resume by evening after the pipeline repair. More details are awaited.",Real
Update: Viral post claims wearing foil hats blocks government surveillance completely. Readers are advised to verify independently.,Fake
The city council approved funding for three new public schools. Officials have not commented further.,Real
The government announced a new infrastructure budget for rural roads. The story is still developing.,Real
Researchers published a peer-reviewed study on renewable energy efficiency. Officials have not commented further.,Real
"Eating this common vegetable instantly reverses aging, viral post claims. The story is still developing.",Fake
Fake report claims famous scientist admits climate change is a total hoax. More details are awaited.,Fake
"According to sources, Scientists confirm moon landing was staged in a hidden studio decades ago. The story is still developing.",Fake
"Popular soda brand secretly owned by extraterrestrial corporation, rumor says. More details are awaited.",Fake
Reports say The city council approved funding for three new public schools.,Real
Shocking video appears to show government faking natural disaster footage. Readers are advised to verify independently.,Fake
Reports say Health officials reported a decline in seasonal flu cases this month.,Real
"Hospital secretly performing experiments on patients without consent, rumor claims. Officials have not commented further.",Fake
"According to sources, Man discovers drinking bleach cures cancer instantly, doctors baffled and furious.",Fake
"Reports say New study proves the earth is actually flat, mainstream media refuses to report. The story is still developing.",Fake
"In a recent update, New study proves the earth is actually flat, mainstream media refuses to report. Readers are advised to verify independently.",Fake
"According to sources, Health officials reported a decline in seasonal flu cases this month. Officials have not commented further.",Real
Reports say A new vaccination drive was launched in rural districts by the health department.,Real
"In a recent update, Aliens landed in secret facility, government covers up truth from public. Officials have not commented further.",Fake
BREAKING: Doctors shocked as man grows extra organ after drinking miracle tonic. More details are awaited.,Fake
Secret government files reveal weather is being controlled by hidden machines.,Fake
"According to sources, The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. The story is still developing.",Real
Update: Fake report claims famous scientist admits climate change is a total hoax. The story is still developing.,Fake
A team of doctors successfully completed a complex surgery at the government hospital. Officials have not commented further.,Real
Update: Local police arrested three suspects in connection with a burglary case. Officials have not commented further.,Real
Reports say Officials confirmed that the new water treatment plant is now operational. Readers are advised to verify independently.,Real
"In a recent update, Man discovers drinking bleach cures cancer instantly, doctors baffled and furious. Officials have not commented further.",Fake
"According to sources, Scientists at ISRO successfully launched a new communication satellite today. More details are awaited.",Real
BREAKING: Researchers published a peer-reviewed study on renewable energy efficiency. Readers are advised to verify independently.,Real
"According to sources, Shocking video appears to show government faking natural disaster footage.",Fake
"According to sources, 5G towers are secretly causing mass mind control, experts allegedly warn. Readers are advised to verify independently.",Fake
Update: The university announced new scholarships for undergraduate students. Readers are advised to verify independently.,Real
Farmers received updated subsidy information from the agriculture department.,Real
"In a recent update, A team of doctors successfully completed a complex surgery at the government hospital. Readers are advised to verify independently.",Real
BREAKING: Viral post claims wearing foil hats blocks government surveillance completely. More details are awaited.,Fake
Update: The environment ministry released its annual air quality report for major cities. The story is still developing.,Real
"In a recent update, The university announced new scholarships for undergraduate students. Readers are advised to verify independently.",Real
Update: The Election Commission announced the schedule for the upcoming state elections. More details are awaited.,Real
Reports say City officials opened a new public library funded by municipal taxes. More details are awaited.,Real
"In a recent update, The city council approved funding for three new public schools. Readers are advised to verify independently.",Real
The transport department introduced new safety rules for commercial vehicles. Readers are advised to verify independently.,Real
Reports say Doctors shocked as man grows extra organ after drinking miracle tonic. The story is still developing.,Fake
"In a recent update, The Reserve Bank of India kept the repo rate unchanged at its latest policy meeting. Readers are advised to verify independently.",Real
"According to sources, Popular soda brand secretly owned by extraterrestrial corporation, rumor says. Officials have not commented further.",Fake
"In a recent update, The Election Commission announced the schedule for the upcoming state elections. Readers are advised to verify independently.",Real
BREAKING: Scientists at ISRO successfully launched a new communication satellite today. The story is still developing.,Real
"Miracle fruit melts fat overnight, doctors hate this one simple trick.",Fake
"In a recent update, Secret government files reveal weather is being controlled by hidden machines.",Fake
Anonymous tip reveals entire stock market is run by a single hidden algorithm. More details are awaited.,Fake
Reports say Doctors shocked as man grows extra organ after drinking miracle tonic. Officials have not commented further.,Fake
BREAKING: The environment ministry released its annual air quality report for major cities.,Real
BREAKING: The company reported a 12 percent increase in quarterly revenue. Readers are advised to verify independently.,Real
"In a recent update, Leaked memo claims all schools will be replaced by robots next year. More details are awaited.",Fake
"In a recent update, 5G towers are secretly causing mass mind control, experts allegedly warn.",Fake
"According to sources, Farmers received updated subsidy information from the agriculture department. More details are awaited.",Real
"According to sources, Stock markets closed slightly higher after positive quarterly earnings reports.",Real
Update: Fake report claims famous scientist admits climate change is a total hoax. Officials have not commented further.,Fake
Reports say Leaked memo claims all schools will be replaced by robots next year. Readers are advised to verify independently.,Fake
"BREAKING: Vaccine contains microchip to track every citizen, whistleblower says. The story is still developing.",Fake
"According to sources, Farmers received updated subsidy information from the agriculture department. Officials have not commented further.",Real
"In a recent update, The central bank published its monetary policy report for this quarter. More details are awaited.",Real
"In a recent update, The central bank published its monetary policy report for this quarter. The story is still developing.",Real
A new vaccination drive was launched in rural districts by the health department.,Real
"Reports say Eating this common vegetable instantly reverses aging, viral post claims. Officials have not commented further.",Fake
"BREAKING: Government plans to ban all sunlight to fight climate change, rumor spreads online. The story is still developing.",Fake
BREAKING: Researchers published a peer-reviewed study on renewable energy efficiency.,Real
BREAKING: Politician caught on secret tape admitting to faking the entire election. More details are awaited.,Fake
Update: Scientists confirm moon landing was staged in a hidden studio decades ago. The story is still developing.,Fake
"Billionaire secretly funding time travel experiments, leaked email suggests. Officials have not commented further.",Fake
"According to sources, The central bank published its monetary policy report for this quarter. Readers are advised to verify independently.",Real
"According to sources, Shocking! Scientists secretly confirm the earth will stop spinning next week. The story is still developing.",Fake
The state government announced additional funding for flood relief operations.,Real
"Miracle fruit melts fat overnight, doctors hate this one simple trick. Readers are advised to verify independently.",Fake
"Update: Government plans to ban all sunlight to fight climate change, rumor spreads online. Officials have not commented further.",Fake
Update: The city council approved funding for three new public schools. Officials have not commented further.,Real
Reports say Officials confirmed that the bridge repair project will be completed by next month. More details are awaited.,Real
"Update: 5G towers are secretly causing mass mind control, experts allegedly warn. The story is still developing.",Fake
Update: Officials confirmed that the bridge repair project will be completed by next month. The story is still developing.,Real
BREAKING: The transport department introduced new safety rules for commercial vehicles. The story is still developing.,Real
"According to sources, The government announced a new infrastructure budget for rural roads.",Real
